Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603_1608Metric",190.500000,-104.140000,90.000000,top
"C2","100nF","C_0402_1005Metric",156.210000,-106.680000,0.000000,top
"C3","10uF","C_0603_1608Metric",185.420000,-104.140000,-90.000000,top
"C4","100nF","C_0402_1005Metric",183.515000,-101.600000,90.000000,top
"C5","100nF","C_0402_1005Metric",180.340000,-95.885000,0.000000,top
"C6","100nF","C_0402_1005Metric",172.720000,-106.045000,180.000000,top
"C7","100nF","C_0402_1005Metric",170.942000,-101.600000,90.000000,top
"C8","20pF","C_0402_1005Metric",165.100000,-104.140000,-90.000000,top
"C9","20pF","C_0402_1005Metric",165.100000,-106.045000,90.000000,top
"D1","~","D_SOD-123",193.040000,-105.410000,90.000000,top
"D2","WHI","LED_0603_1608Metric",189.230000,-98.425000,0.000000,top
"D3","BLUE","LED_0603_1608Metric",189.230000,-100.330000,0.000000,top
"J1","USB-C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",200.025000,-101.600000,90.000000,top
"J2","~","PinHeader_2x03_P2.54mm_Horizontal",155.575000,-104.140000,180.000000,top
"R1","10k","R_0402_1005Metric",153.670000,-106.680000,0.000000,top
"R2","22R","R_0402_1005Metric",193.675000,-100.965000,180.000000,top
"R3","22R","R_0402_1005Metric",193.675000,-99.695000,180.000000,top
"R4","1.5k","R_0402_1005Metric",193.675000,-98.425000,180.000000,top
"R5","10k","R_0402_1005Metric",155.575000,-96.520000,180.000000,top
"R6","5.1k","R_0402_1005Metric",193.675000,-97.155000,180.000000,top
"R7","5.1k","R_0402_1005Metric",193.675000,-102.235000,180.000000,top
"R8","220","R_0402_1005Metric",186.690000,-98.425000,180.000000,top
"R9","220","R_0402_1005Metric",186.690000,-100.330000,180.000000,top
"SW1","TS-1088R-02526","TS-1088R-02526",159.385000,-104.775000,-90.000000,top
"SW2","TS-1088R-02526","TS-1088R-02526",159.385000,-98.425000,-90.000000,top
"U1","XC6206P332MR","SOT-23",187.960000,-104.140000,90.000000,top
"U2","STM32F103CBT6","LQFP-48_7x7mm_P0.5mm",177.165000,-101.600000,315.000000,top
"U3","W25Q128JVSIQ","SOIC-8_5.3x5.3mm_P1.27mm",165.735000,-99.060000,90.000000,top
"Y1","16Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",167.640000,-104.775000,-90.000000,top
